postcode sector,Age 30 to 45,Age 30 to 45 %
BB10 1,901.0,0.20904872389791182
BB10 2,1048.0,0.19610778443113772
BB10 3,741.0,0.1826472763125462
BB10 4,848.0,0.16211049512521505
BB11 2,501.0,0.1869402985074627
BB11 3,400.0,0.19029495718363462
BB11 4,579.0,0.1871968962172648
BB11 5,653.0,0.18689181453921008
BB12 0,795.0,0.19979894445840662
BB12 6,978.0,0.22081734025739444
BB12 7,685.0,0.18829026937877955
BB12 8,723.0,0.17794732955943884
BB12 9,268.0,0.17878585723815876
BB18 5,772.0,0.1996379622446341
BB18 6,957.0,0.1983008702859511
BB2  1,532.0,0.19917633845001873
BB2  2,428.0,0.1966008268259072
BB2  3,1028.0,0.2029214370311883
BB2  4,1806.0,0.2349421100559386
BB2  5,626.0,0.17345525076198393
BB2  6,1027.0,0.19841576506955177
BB2  7,643.0,0.1763092953112147
BB3  0,1027.0,0.21694127587663709
BB3  1,631.0,0.19278948976474183
BB3  2,1011.0,0.2159333618111918
BB3  3,919.0,0.1933922558922559
BB4  4,791.0,0.2044455931765314
BB4  5,644.0,0.21212121212121213
BB4  6,798.0,0.19964973730297722
BB4  7,572.0,0.19278732726659925
BB4  8,999.0,0.22725204731574158
BB4  9,592.0,0.20918727915194346
BB5  0,980.0,0.19971469329529243
BB5  1,458.0,0.18739770867430441
BB5  2,781.0,0.2024889810733731
BB5  3,786.0,0.19664748561421067
BB5  4,829.0,0.1834070796460177
BB5  5,1224.0,0.20693153000845307
BB5  6,1124.0,0.2139322421012562
BB6  7,1065.0,0.19448502556610664
BB6  8,379.0,0.19760166840458812
BB7  1,778.0,0.20051546391752578
BB7  2,661.0,0.17792732166890982
BB7  3,261.0,0.1687136393018746
BB7  4,426.0,0.16673189823874757
BB7  9,861.0,0.1953710006807352
BB8  0,532.0,0.17200129324280633
BB8  7,436.0,0.18490245971162
BB8  8,532.0,0.20644159875824603
BB8  9,745.0,0.19973190348525469
BB9  0,1196.0,0.19293434424907244
BB9  5,573.0,0.1790065604498594
BB9  6,439.0,0.17823792123426715
BB9  7,699.0,0.20698845128812557
BB9  8,809.0,0.19367967440746947
BB9  9,591.0,0.18207024029574861
BD1  1,28.0,0.1958041958041958
BD1  2,32.0,0.21621621621621623
BD1  3,149.0,0.20694444444444443
BD1  4,67.0,0.23843416370106763
BD1  5,62.0,0.21232876712328766
BD10 0,932.0,0.2047901560096682
BD10 8,1225.0,0.22588972893232528
BD10 9,673.0,0.20375416288222828
BD11 1,578.0,0.20694593626924454
BD11 2,641.0,0.21057818659658345
BD12 0,540.0,0.19882179675994108
BD12 7,213.0,0.2173469387755102
BD12 8,479.0,0.1915233906437425
BD12 9,449.0,0.1903348876642645
BD13 1,435.0,0.21396950319724545
BD13 2,798.0,0.2035195103289977
BD13 3,721.0,0.2033276931754089
BD13 4,401.0,0.2262979683972912
BD13 5,285.0,0.18387096774193548
BD14 6,884.0,0.1802242609582059
BD15 0,420.0,0.18575851393188855
BD15 7,948.0,0.227994227994228
BD15 9,300.0,0.1969796454366382
BD16 1,921.0,0.18900061563718448
BD16 2,297.0,0.1689419795221843
BD16 3,612.0,0.2083758937691522
BD16 4,747.0,0.21155480033984708
BD17 5,804.0,0.19326923076923078
BD17 6,552.0,0.17042297005248533
BD17 7,363.0,0.20636725412166004
BD18 1,801.0,0.21891227111232578
BD18 2,734.0,0.21055651176133103
BD18 3,603.0,0.22096005862953463
BD18 4,870.0,0.21481481481481482
BD19 3,667.0,0.22152108933909
BD19 4,1021.0,0.21235440931780367
BD19 5,287.0,0.2129080118694362
BD19 6,361.0,0.1814070351758794
BD2  1,828.0,0.2000966650555824
BD2  2,424.0,0.17048652995577002
BD2  3,803.0,0.19758858267716536
BD2  4,730.0,0.18268268268268267
BD20 0,593.0,0.18855325914149443
BD20 5,782.0,0.21010209564750135
BD20 6,716.0,0.1881240147136101
BD20 7,476.0,0.18478260869565216
BD20 8,547.0,0.1892733564013841
BD20 9,352.0,0.16326530612244897
BD21 1,577.0,0.18511389156239974
BD21 2,709.0,0.19904548006737788
BD21 3,360.0,0.18643190056965303
BD21 4,736.0,0.19989136338946226
BD21 5,247.0,0.18941717791411042
BD22 0,488.0,0.22081447963800904
BD22 6,822.0,0.20457939273270284
BD22 7,969.0,0.20691864189622036
BD22 8,463.0,0.2125803489439853
BD22 9,461.0,0.2042534337616305
BD23 1,552.0,0.1806873977086743
BD23 2,830.0,0.19032332033937172
BD23 3,328.0,0.15391834819333647
BD23 4,277.0,0.15414579855314414
BD23 5,236.0,0.12889131622064445
BD23 6,303.0,0.150074294205052
BD24 0,142.0,0.142
BD24 9,251.0,0.15389331698344574
BD3  0,981.0,0.2006545305788505
BD3  7,829.0,0.21769957983193278
BD3  8,1011.0,0.22551862592014277
BD3  9,789.0,0.2114714553738944
BD4  0,701.0,0.20383832509450422
BD4  6,840.0,0.22495982860203534
BD4  7,492.0,0.20406470344255495
BD4  8,703.0,0.19943262411347518
BD4  9,499.0,0.17189114708921804
BD5  0,616.0,0.18837920489296636
BD5  7,694.0,0.22503242542153049
BD5  8,798.0,0.20540540540540542
BD5  9,1054.0,0.1982320857626481
BD6  1,941.0,0.18971774193548388
BD6  2,803.0,0.2013035848583605
BD6  3,1513.0,0.22538358409057052
BD7  1,302.0,0.11281285020545387
BD7  2,1224.0,0.20766881574482524
BD7  3,828.0,0.19532908704883228
BD7  4,881.0,0.19461011707532583
BD8  0,871.0,0.21084483175986443
BD8  7,638.0,0.20554123711340205
BD8  8,633.0,0.19411223551057957
BD8  9,1110.0,0.21756174049392396
BD9  4,995.0,0.21129751539605013
BD9  5,1160.0,0.21060275962236746
BD9  6,1006.0,0.2222713212549713
BH1  1,222.0,0.19023136246786632
BH1  2,89.0,0.1701720841300191
BH1  3,574.0,0.19261744966442954
BH1  4,1083.0,0.25428504343742664
BH10 4,398.0,0.18729411764705883
BH10 5,693.0,0.1925
BH10 6,482.0,0.1829916476841306
BH10 7,328.0,0.1682051282051282
BH11 8,1063.0,0.20806420043061263
BH11 9,888.0,0.17299824663939217
BH12 1,647.0,0.20631377551020408
BH12 2,916.0,0.22837197706307655
BH12 3,836.0,0.20596205962059622
BH12 4,890.0,0.19839500668747215
BH12 5,344.0,0.15707762557077626
BH13 6,270.0,0.11175496688741722
BH13 7,243.0,0.13064516129032258
BH14 0,777.0,0.21728187919463088
BH14 8,891.0,0.188212927756654
BH14 9,857.0,0.23891831614162254
BH15 1,563.0,0.17577271308148612
BH15 2,624.0,0.1989795918367347
BH15 3,1054.0,0.18010936431989064
BH15 4,944.0,0.1980696600923206
BH16 5,1045.0,0.18482490272373542
BH16 6,392.0,0.15717722534081796
BH17 7,938.0,0.2036916395222584
BH17 8,817.0,0.21154842050750905
BH17 9,669.0,0.19875222816399288
BH18 8,303.0,0.12257281553398058
BH18 9,535.0,0.16080553050796514
