Area code,All categories: Age,Age 0 to 4,Age 5 to 7,Age 8 to 9,Age 10 to 14,Age 15,Age 16 to 17,Age 18 to 19,Age 20 to 24,Age 25 to 29,Age 30 to 44,Age 45 to 59,Age 60 to 64,Age 65 to 74,Age 75 to 84,Age 85 to 89,Age 90 and over,Mean age,Median age
E07000199,"76,813","5,061","2,820","1,722","4,789",954,"2,022","1,816","4,744","5,181","16,164","15,409","4,987","6,510","3,460",808,366,38.6,39
,,,,,,,,,,,,,,,,,,,
E10000031,"545,474","31,364","17,751","11,429","31,267","6,588","13,514","12,383","32,734","32,277","108,918","111,861","36,117","53,826","32,288","8,663","4,494",40.9,41
E07000218,"62,014","3,285","1,920","1,289","3,730",741,"1,559","1,358","3,219","3,281","12,072","13,679","4,496","6,506","3,554",913,412,41.7,43
E07000219,"125,252","7,925","4,279","2,740","7,412","1,652","3,302","2,937","7,453","7,971","25,407","25,224","8,028","11,768","6,761","1,611",782,39.7,40
E07000220,"100,075","6,269","3,483","2,165","6,149","1,320","2,718","2,136","5,182","6,322","20,887","20,048","6,062","9,404","5,556","1,545",829,40.0,40
E07000221,"120,485","5,965","3,718","2,458","6,849","1,453","2,936","2,348","5,257","5,382","21,697","26,501","9,341","14,266","8,692","2,317","1,305",43.8,46
E07000222,"137,648","7,920","4,351","2,777","7,127","1,422","2,999","3,604","11,623","9,321","28,855","26,409","8,190","11,882","7,725","2,277","1,166",39.7,39
,,,,,,,,,,,,,,,,,,,
E11000005,"2,736,460","192,528","107,282","66,732","174,834","36,702","73,170","82,532","210,315","198,782","555,126","484,316","138,600","215,833","144,371","36,924","18,413",37.4,36
E08000025,"1,073,045","81,901","45,952","28,408","73,659","14,762","29,453","36,063","93,914","85,601","222,658","176,026","46,435","70,102","49,043","12,656","6,412",35.3,32
