postcode_sectors,code_constituency,turnout,women_age30to45,perc_eu,10to14%,15%,16to17%,18to19%,20to24%,25to29%,30to44%
SE6  4,E14000789,64.58,0.15001996964613787,9.2,5.2,1.1,2.5,1.9,6.1,8.6,26.2
SE8  3,E14000789,64.58,0.15001996964613787,10.4,5.8,1.2,2.4,5.5,12,11.8,26.5
SE8  5,E14000789,64.58,0.15001996964613787,11.6,6.1,1.1,2.3,2.7,10.9,14,26
SE16 2,E14000789,64.58,0.15001996964613787,10.4,6.3,1.1,2.4,2.4,9.1,11.7,23.9
SE16 7,E14000789,64.58,0.15001996964613787,13.9,3.3,0.6,1.2,1.3,12.2,21.1,31.9
SE8  9,E14000789,64.58,0.15001996964613787,NA,NA,NA,NA,NA,NA,NA,NA
SE13 6,E14000789,64.58,0.15001996964613787,10.4,4.3,1.1,2.3,2,6.9,12.8,31.2
SE6  1,E14000789,64.58,0.15001996964613787,6.2,7.2,1.7,3.3,2.7,6.5,6.4,23
SE13 5,E14000789,64.58,0.15001996964613787,9,4.1,0.8,2,1.4,7,11,31.3
SE13 9,E14000789,64.58,0.15001996964613787,NA,NA,NA,NA,NA,NA,NA,NA
SE12 0,E14000789,64.58,0.15001996964613787,6.7,5.9,1.2,2.5,2.6,5.9,7.9,25.3
SE14 5,E14000789,64.58,0.15001996964613787,11.3,5.5,1.1,1.8,2.7,10.6,12.4,28.5
SE15 1,E14000789,64.58,0.15001996964613787,9.4,7.1,1.6,2.2,2.5,8.5,10,24.6
SE16 3,E14000789,64.58,0.15001996964613787,10.9,5.6,1.1,2.5,2.4,9.2,12.7,25.5
SE14 9,E14000789,64.58,0.15001996964613787,NA,NA,NA,NA,NA,NA,NA,NA
SE15 2,E14000789,64.58,0.15001996964613787,9.3,4.9,1.3,2,2.3,9,10.8,26.4
E14  1,E14000882,62.18,0.14804480362966113,NA,NA,NA,NA,NA,NA,NA,NA
E14  9,E14000882,62.18,0.14804480362966113,15.7,2.6,0.5,1.1,1.6,13.9,23.4,34.9
E14  3,E14000882,62.18,0.14804480362966113,13,3.9,0.7,1.5,1.7,10,15.7,32.7
E14  0,E14000882,62.18,0.14804480362966113,7.2,7.5,1.7,3,2.9,10.1,11,23.8
E14  2,E14000882,62.18,0.14804480362966113,10.7,3.2,0.5,0.9,1.4,11.1,22.4,37.5
E14  5,E14000882,62.18,0.14804480362966113,16.8,1.1,0.2,0.2,1.2,12.6,26.3,39.8
