Area code,All categories: Sex,Males,Females
E10000015,"1,116,062","547,110","568,952"
E07000095,"93,609","45,357","48,252"
E07000096,"144,847","71,307","73,540"
E07000097,"137,687","67,690","69,997"
E07000098,"100,031","48,290","51,741"
E07000099,"127,114","62,380","64,734"
E07000100,"140,664","69,040","71,624"
E07000101,"83,957","41,483","42,474"
E07000102,"87,317","42,371","44,946"
E07000103,"90,301","44,828","45,473"
E07000104,"110,535","54,364","56,171"
,,,
E10000020,"857,888","420,160","437,728"
E07000143,"130,491","64,566","65,925"
E07000144,"124,646","60,794","63,852"
E07000145,"97,277","47,762","49,515"
E07000146,"147,451","72,053","75,398"
E07000147,"101,499","49,203","52,296"
E07000148,"132,512","65,267","67,245"
E07000149,"124,012","60,515","63,497"
,,,
E10000029,"728,163","359,787","368,376"
E07000200,"87,740","43,004","44,736"
E07000201,"59,748","30,153","29,595"
E07000202,"133,384","66,428","66,956"
E07000203,"96,731","47,924","48,807"
E07000204,"111,008","55,594","55,414"
E07000205,"124,298","60,663","63,635"
E07000206,"115,254","56,021","59,233"
,,,
E12000007,"8,173,941","4,033,289","4,140,652"
,,,
E13000001,"3,231,901","1,608,674","1,623,227"
E09000007,"220,338","107,885","112,453"
E09000001,"7,375","4,091","3,284"
E09000012,"246,270","122,029","124,241"
E09000013,"182,493","88,914","93,579"
E09000014,"254,926","126,224","128,702"
E09000019,"206,125","101,405","104,720"
E09000020,"158,649","78,194","80,455"
E09000022,"303,086","150,921","152,165"
E09000023,"275,885","134,957","140,928"
E09000025,"307,984","160,336","147,648"
E09000028,"288,283","142,618","145,665"
E09000030,"254,096","130,906","123,190"
E09000032,"306,995","148,646","158,349"
E09000033,"219,396","111,548","107,848"
,,,
E13000002,"4,942,040","2,424,615","2,517,425"
E09000002,"185,911","90,237","95,674"
E09000003,"356,386","172,676","183,710"
E09000004,"231,997","111,676","120,321"
E09000005,"311,215","156,468","154,747"
E09000006,"309,392","148,588","160,804"
E09000008,"363,378","176,224","187,154"
E09000009,"338,449","169,175","169,274"
E09000010,"312,466","150,654","161,812"
E09000011,"254,557","126,224","128,333"
E09000015,"239,056","118,023","121,033"
E09000016,"237,232","114,209","123,023"
E09000017,"273,936","135,811","138,125"
E09000018,"253,957","127,397","126,560"
E09000021,"160,060","78,103","81,957"
E09000024,"199,693","98,515","101,178"
E09000026,"278,970","138,073","140,897"
E09000027,"186,990","91,149","95,841"
E09000029,"190,146","92,443","97,703"
E09000031,"258,249","128,970","129,279"
,,,
E12000008,"8,634,750","4,239,298","4,395,452"
,,,
E06000036,"113,205","56,107","57,098"
E06000043,"273,369","136,108","137,261"
E06000046,"138,265","67,424","70,841"
E06000035,"263,925","130,825","133,100"
E06000042,"248,821","123,116","125,705"
E06000044,"205,056","103,201","101,855"
E06000038,"155,698","77,967","77,731"
E06000039,"140,205","70,120","70,085"
E06000045,"236,882","119,453","117,429"
E06000037,"153,822","76,321","77,501"
E06000040,"144,560","71,328","73,232"
E06000041,"154,380","76,464","77,916"
,,,
E10000002,"505,283","248,346","256,937"
E07000004,"174,137","86,241","87,896"
E07000005,"92,635","45,049","47,586"
E07000006,"66,867","32,439","34,428"
E07000007,"171,644","84,617","87,027"
,,,
E10000011,"526,671","253,764","272,907"
E07000061,"99,412","47,559","51,853"
E07000062,"90,254","44,014","46,240"
E07000063,"97,502","47,363","50,139"
E07000064,"90,588","43,021","47,567"
E07000065,"148,915","71,807","77,108"
,,,
E10000014,"1,317,788","644,938","672,850"
E07000084,"167,799","83,116","84,683"
E07000085,"115,608","56,237","59,371"
E07000086,"125,199","61,384","63,815"
E07000087,"111,581","54,634","56,947"
E07000088,"82,622","40,736","41,886"
E07000089,"91,033","45,174","45,859"
E07000090,"120,684","58,607","62,077"
E07000091,"176,462","84,784","91,678"
E07000092,"93,807","46,757","47,050"
E07000093,"116,398","56,880","59,518"
E07000094,"116,595","56,629","59,966"
,,,
E10000016,"1,463,740","715,613","748,127"
E07000105,"117,956","57,232","60,724"
E07000106,"151,145","72,638","78,507"
E07000107,"97,365","48,061","49,304"
E07000108,"111,674","54,765","56,909"
E07000109,"101,720","50,139","51,581"
E07000110,"155,143","76,492","78,651"
E07000111,"114,893","55,743","59,150"
E07000112,"107,969","53,135","54,834"
E07000113,"135,835","67,152","68,683"
E07000114,"134,186","64,555","69,631"
E07000115,"120,805","59,207","61,598"
E07000116,"115,049","56,494","58,555"
,,,
E10000025,"653,798","322,971","330,827"
E07000177,"141,868","70,126","71,742"
E07000178,"151,906","75,335","76,571"
E07000179,"134,257","66,005","68,252"
E07000180,"120,988","60,058","60,930"
E07000181,"104,779","51,447","53,332"
,,,
E10000030,"1,132,390","554,665","577,725"
E07000207,"130,875","63,462","67,413"
E07000208,"75,102","36,412","38,690"
E07000209,"137,183","67,923","69,260"
E07000210,"85,375","41,749","43,626"
E07000211,"137,835","67,422","70,413"
E07000212,"80,510","39,148","41,362"
E07000213,"95,598","47,053","48,545"
E07000214,"86,144","42,868","43,276"
E07000215,"82,998","40,158","42,840"
E07000216,"121,572","59,326","62,246"
E07000217,"99,198","49,144","50,054"
,,,
E10000032,"806,892","390,567","416,325"
E07000223,"61,182","29,513","31,669"
E07000224,"149,518","71,303","78,215"
E07000225,"113,794","54,401","59,393"
E07000226,"106,597","52,698","53,899"
E07000227,"131,301","63,806","67,495"
E07000228,"139,860","68,462","71,398"
E07000229,"104,640","50,384","54,256"
,,,
E12000009,"5,288,935","2,590,608","2,698,327"
,,,
E06000022,"176,016","86,072","89,944"
E06000028,"183,491","91,386","92,105"
E06000023,"428,234","213,071","215,163"
E06000052,"532,273","257,805","274,468"
E06000053,"2,203","1,102","1,101"
E06000024,"202,566","98,463","104,103"
E06000026,"256,384","126,684","129,700"
E06000029,"147,645","72,121","75,524"
E06000025,"262,767","130,424","132,343"
E06000030,"209,156","104,618","104,538"
E06000027,"130,959","63,110","67,849"
E06000054,"470,981","231,754","239,227"
,,,
E10000008,"746,399","361,745","384,654"
E07000040,"132,457","63,321","69,136"
