Area code,All categories: Ethnic Group,White2,"Gypsy / Traveller / Irish Traveller3,4",Mixed / Multiple Ethnic Groups5,Asian / Asian British: Indian,Asian / Asian British: Pakistani,Asian / Asian British: Bangladeshi,Asian / Asian British: Chinese,Asian / Asian British: Other Asian,Black / African / Caribbean / Black British6,Other Ethnic Group
E10000031,"545,474","505,194",494,"7,949","16,435","1,728",284,"2,349","4,300","4,443","2,298"
E07000218,"62,014","60,664",45,506,360,35,11,67,107,172,47
E07000219,"125,252","114,317",75,"1,396","5,705",527,51,304,"1,293","1,047",537
E07000220,"100,075","90,405",160,"1,986","3,061",612,140,432,980,"1,987",312
E07000221,"120,485","117,134",173,"1,258",564,74,13,391,424,264,190
E07000222,"137,648","122,674",41,"2,803","6,745",480,69,"1,155","1,496",973,"1,212"
,,,,,,,,,,,
E11000005,"2,736,460","1,917,520","1,618","96,204","185,271","200,545","48,727","21,430","59,008","164,069","42,068"
E08000025,"1,073,045","621,228",408,"47,605","64,621","144,627","32,532","12,712","31,148","96,360","21,804"
E08000026,"316,960","233,878",151,"8,230","27,751","9,510","2,951","3,728","7,658","17,764","5,339"
E08000027,"312,925","281,255",352,"5,758","5,737","10,339",397,876,"1,593","4,671","1,947"
E08000028,"308,063","215,330",141,"10,199","31,400","13,952","6,588",839,"6,479","18,357","4,778"
E08000029,"206,674","184,174",70,"4,404","7,098","3,413",633,906,"1,511","3,239","1,226"
E08000030,"269,323","212,182",287,"7,224","16,502","14,289","5,194",993,"4,044","6,369","2,239"
E08000031,"249,470","169,473",209,"12,784","32,162","4,415",432,"1,376","6,575","17,309","4,735"
,,,,,,,,,,,
E10000034,"566,169","540,893","1,165","7,045","3,634","4,984","1,316","1,601","2,206","2,372",953
E07000234,"93,637","89,621",75,"1,396","1,078",221,39,309,278,444,176
E07000235,"74,631","72,710",131,639,268,43,30,336,225,151,98
E07000236,"84,214","77,488",9,"1,655",720,"2,580",192,209,328,862,171
E07000237,"98,768","92,181",113,"1,395",806,"1,923",449,391,797,473,240
E07000238,"116,944","113,995",462,962,463,84,94,188,300,228,168
E07000239,"97,975","94,898",375,998,299,133,512,168,278,214,100
,,,,,,,,,,,
E12000006,"5,846,965","5,302,029","8,165","112,116","86,736","66,270","32,992","33,503","58,871","117,442","28,841"
,,,,,,,,,,,
E06000055,"157,479","126,731",115,"5,386","8,122","3,270","3,225",905,"2,410","6,202","1,113"
E06000056,"254,381","238,244",478,"4,789","2,533",442,214,"1,404","1,809","3,614",854
E06000032,"203,201","110,881",198,"8,281","10,625","29,353","13,606","1,497","5,871","19,909","2,980"
E06000031,"183,631","150,984",560,"4,948","4,636","12,078",229,872,"3,677","4,164","1,483"
E06000033,"173,658","158,861",162,"3,651","1,810","1,059",933,"1,084","1,554","3,647",897
E06000034,"157,705","135,121",308,"3,099","2,234",534,682,828,"1,649","12,323",927
,,,,,,,,,,,
E10000003,"621,210","573,479","1,508","11,081","7,430","2,373","2,562","6,723","6,550","6,010","3,494"
E07000008,"123,867","102,096",109,"3,944","3,413",742,"1,849","4,454","3,160","2,097","2,003"
E07000009,"83,818","80,434",239,"1,182",316,103,80,290,426,506,242
E07000010,"95,262","92,164",467,901,372,65,65,215,358,497,158
E07000011,"169,508","160,483",208,"2,530","1,119",998,351,575,"1,147","1,642",455
E07000012,"148,755","138,302",485,"2,524","2,210",465,217,"1,189","1,459","1,268",636
,,,,,,,,,,,
E10000012,"1,393,587","1,311,695","2,161","20,885","12,456","3,462","2,747","6,361","9,834","18,709","5,277"
E07000066,"174,497","160,804",873,"2,887","2,089",436,322,584,"1,335","4,685",482
E07000067,"147,084","141,955",132,"1,837",625,122,190,335,726,913,249
E07000068,"73,601","68,747",121,"1,196",939,113,172,377,749,896,291
E07000069,"88,011","85,256",17,911,378,67,87,220,260,661,154
E07000070,"168,310","157,771",212,"2,646","1,911",673,466,826,"1,086","2,051",668
E07000071,"173,074","159,227",79,"3,152","1,426",366,385,"1,690","2,488","2,575","1,686"
E07000072,"124,659","112,693",176,"2,649","3,041",933,265,598,"1,085","2,404",815
E07000073,"81,944","72,882",117,"1,752","1,061",629,392,830,821,"3,090",370
E07000074,"61,629","60,228",201,506,117,7,90,104,166,150,60
E07000075,"83,287","80,888",49,905,262,42,81,228,268,433,131
E07000076,"138,048","134,605",62,"1,467",323,34,111,367,440,434,205
E07000077,"79,443","76,639",122,977,284,40,186,202,410,417,166
,,,,,,,,,,,
E10000015,"1,116,062","976,346","1,149","27,497","28,848","12,302","5,608","8,462","17,361","31,401","7,088"
E07000095,"93,609","84,383",147,"2,141",799,145,158,326,762,"3,957",791
E07000096,"144,847","131,306",231,"3,075","2,347","2,007",287,784,"1,345","2,990",475
E07000097,"137,687","131,399",57,"2,214",999,213,282,516,671,984,352
E07000098,"100,031","84,909",154,"2,619","3,723",454,232,918,"2,066","3,927","1,029"
E07000099,"127,114","113,722",33,"3,376","3,464",424,495,808,"1,630","2,491",671
E07000100,"140,664","124,215",165,"3,904","2,210","1,149","2,633","1,149","1,870","2,388",981
E07000101,"83,957","73,531",67,"2,265","1,626",489,536,635,"1,562","2,836",410
E07000102,"87,317","75,215",79,"2,002","5,231",605,158,590,"1,409","1,610",418
E07000103,"90,301","64,885",61,"3,104","4,923","6,082",362,822,"3,981","5,229",852
E07000104,"110,535","92,781",155,"2,797","3,526",734,465,"1,914","2,065","4,989","1,109"
,,,,,,,,,,,
E10000020,"857,888","827,096",922,"10,027","4,043",700,933,"3,208","4,133","4,609","2,217"
E07000143,"130,491","126,912",204,"1,562",295,81,101,202,361,596,177
E07000144,"124,646","121,751",44,"1,064",405,45,96,286,433,331,191
E07000145,"97,277","94,152",63,"1,159",446,116,18,189,435,439,260
E07000146,"147,451","143,154",255,"1,372",668,134,51,386,624,561,246
E07000147,"101,499","100,081",46,617,112,5,67,141,206,157,67
E07000148,"132,512","120,248",127,"3,039","1,684",255,540,"1,679","1,686","2,147","1,107"
E07000149,"124,012","120,798",183,"1,214",433,64,60,325,388,378,169
,,,,,,,,,,,
E10000029,"728,163","692,591",604,"12,472","3,999",697,"2,253","2,159","4,023","6,854","2,511"
E07000200,"87,740","85,794",51,827,180,9,65,161,251,264,138
E07000201,"59,748","54,799",108,"1,744",300,135,96,105,627,"1,296",538
E07000202,"133,384","118,447",149,"4,816","1,801",242,"1,687",666,"1,344","3,096","1,136"
E07000203,"96,731","94,591",76,953,170,17,38,158,264,371,93
E07000204,"111,008","106,537",78,"1,404",599,123,126,298,678,902,263
E07000205,"124,298","119,925",51,"1,513",769,115,145,463,540,556,221
E07000206,"115,254","112,498",91,"1,215",180,56,96,308,319,369,122
,,,,,,,,,,,
E12000007,"8,173,941","4,879,239","8,196","405,279","542,857","223,797","222,127","124,250","398,515","1,088,640","281,041"
,,,,,,,,,,,
E13000001,"3,231,901","1,850,154","3,055","189,748","109,933","59,890","163,838","65,983","115,549","540,181","133,570"
E09000007,"220,338","145,888",167,"12,322","6,083","1,489","12,503","6,493","8,878","18,060","8,455"
E09000001,"7,375","5,796",3,289,216,16,232,263,213,193,154
E09000012,"246,270","134,143",474,"15,869","7,599","1,905","6,180","3,436","6,747","56,858","13,059"
E09000013,"182,493","124,005",217,"10,044","3,451","1,612","1,056","3,140","7,376","21,505","10,087"
E09000014,"254,926","153,973",370,"16,548","5,945","1,920","4,417","3,744","8,124","47,830","12,055"
E09000019,"206,125","140,352",163,"13,339","3,534",951,"4,662","4,457","5,430","26,294","6,943"
E09000020,"158,649","111,898",119,"8,986","2,577",911,836,"3,968","7,569","10,333","11,452"
E09000022,"303,086","172,830",195,"23,160","4,983","3,072","2,221","4,573","6,089","78,542","7,421"
E09000023,"275,885","147,478",208,"20,472","4,600","1,596","1,388","6,164","11,786","74,942","7,251"
E09000025,"307,984","88,754",462,"13,945","42,484","30,307","37,262","3,930","19,912","60,256","10,672"
E09000028,"288,283","156,086",263,"17,778","5,819","1,623","3,912","8,074","7,764","77,511","9,453"
E09000030,"254,096","114,644",175,"10,360","6,787","2,442","81,377","8,109","5,786","18,629","5,787"
E09000032,"306,995","219,053",163,"15,241","8,642","9,718","1,493","3,715","9,770","32,756","6,444"
E09000033,"219,396","135,254",76,"11,395","7,213","2,328","6,299","5,917","10,105","16,472","24,337"
,,,,,,,,,,,
E13000002,"4,942,040","3,029,085","5,141","215,531","432,924","163,907","58,289","58,267","282,966","548,459","147,471"
E09000002,"185,911","108,204",182,"7,878","7,436","8,007","7,701","1,315","5,135","37,140","2,913"
E09000003,"356,386","228,402",151,"17,169","27,920","5,344","2,215","8,259","22,180","27,431","17,315"
E09000004,"231,997","189,338",624,"5,395","7,047",730,777,"2,514","4,175","19,624","1,773"
E09000005,"311,215","112,560",320,"15,775","58,017","14,381","1,749","3,250","28,589","58,632","17,942"
E09000006,"309,392","260,290",580,"10,897","6,215","1,014","1,265","2,768","4,805","18,686","2,872"
E09000008,"363,378","199,961",234,"23,895","24,660","10,865","2,570","3,925","17,607","73,256","6,405"
E09000009,"338,449","165,518",300,"15,066","48,240","14,711","1,786","4,132","31,570","36,860","20,266"
E09000010,"312,466","190,296",344,"17,183","11,648","2,594","5,599","2,588","12,464","53,687","16,063"
E09000011,"254,557","158,572",430,"12,274","7,836","2,594","1,645","5,061","12,758","48,655","4,732"
E09000015,"239,056","100,810",181,"9,499","63,051","7,797","1,378","2,629","26,953","19,708","7,050"
E09000016,"237,232","207,789",160,"4,933","5,017","1,492",975,"1,459","2,602","11,481","1,324"
E09000017,"273,936","165,687",344,"10,479","36,795","9,200","2,639","2,889","17,730","20,082","8,091"
E09000018,"253,957","130,322",183,"10,349","48,161","13,676","2,189","2,405","20,826","16,813","9,033"
E09000021,"160,060","119,124",95,"6,269","6,325","3,009",892,"2,883","13,043","4,021","4,399"
E09000024,"199,693","129,390",216,"9,334","8,106","7,337","2,216","2,618","15,866","20,811","3,799"
E09000026,"278,970","118,506",140,"11,456","45,660","31,051","16,011","3,000","20,781","24,845","7,520"
E09000027,"186,990","160,630",95,"6,780","5,202","1,163",867,"1,753","4,622","2,816","3,062"
E09000029,"190,146","149,256",193,"7,134","6,454","2,595","1,183","2,240","9,563","9,120","2,408"
E09000031,"258,249","134,430",369,"13,766","9,134","26,347","4,632","2,579","11,697","44,791","10,504"
,,,,,,,,,,,
E12000008,"8,634,750","7,813,278","14,542","167,764","152,132","99,246","27,951","53,061","119,652","136,013","51,111"
,,,,,,,,,,,
E06000036,"113,205","102,436",118,"2,303","1,989",518,134,556,"2,467","2,189",495
E06000043,"273,369","243,314",198,"10,408","2,996",649,"1,367","2,999","3,267","4,188","3,983"
E06000046,"138,265","134,451",94,"1,709",435,80,131,219,649,303,194
E06000035,"263,925","236,069",510,"5,176","7,132","1,516","1,304","1,065","2,598","6,663","1,892"
E06000042,"248,821","199,022",72,"8,235","8,106","3,851","1,989","2,722","6,114","17,131","1,579"
E06000044,"205,056","181,097",85,"5,467","2,911",539,"3,649","2,611","2,764","3,777","2,156"
E06000038,"155,698","116,297",90,"6,180","6,514","6,967",695,"1,603","5,382","10,470","1,500"
E06000039,"140,205","63,833",220,"4,758","21,922","24,869",549,797,"7,560","12,115","3,582"
E06000045,"236,882","203,187",341,"5,678","6,742","3,019","1,401","3,449","5,281","5,067","2,717"
E06000037,"153,822","145,690",164,"2,420","1,675",473,225,659,776,"1,376",364
E06000040,"144,560","124,286",219,"3,315","5,860","4,238",393,"1,071","2,286","1,725","1,167"
E06000041,"154,380","136,234",291,"3,182","5,331","2,865",222,"1,203","1,817","2,093","1,142"
,,,,,,,,,,,
E10000002,"505,283","436,056",614,"12,360","11,368","21,236","1,089","2,554","7,022","10,490","2,494"
E07000004,"174,137","155,945",134,"3,864","1,872","5,408",201,636,"1,988","3,323",766
E07000005,"92,635","84,628",121,"2,040","1,799","1,772",120,442,913,524,276
E07000006,"66,867","56,109",256,"1,607","4,758",965,171,527,"1,112",709,653
E07000007,"171,644","139,374",103,"4,849","2,939","13,091",597,949,"3,009","5,934",799
,,,,,,,,,,,
E10000011,"526,671","504,607",815,"7,473","2,253",317,"1,042","1,931","3,600","2,912","1,721"
E07000061,"99,412","93,442",66,"1,791",671,107,287,621,"1,109",783,535
E07000062,"90,254","84,481",150,"1,948",487,78,276,366,919,"1,065",484
E07000063,"97,502","94,062",97,"1,275",360,64,153,316,507,416,252
E07000064,"90,588","87,817",134,"1,031",276,16,109,217,485,305,198
E07000065,"148,915","144,805",368,"1,428",459,52,217,411,580,343,252
,,,,,,,,,,,
E10000014,"1,317,788","1,250,054","2,069","18,051","10,731","1,803","2,143","5,605","15,074","8,298","3,960"
E07000084,"167,799","155,725",163,"2,813","2,437",389,330,"1,221","2,338","1,909",474
