postcode_sectors,code_constituency,turnout,women_age30to45,perc_eu,10to14%,15%,16to17%,18to19%,20to24%,25to29%,30to44%,All residents,WhiteTot,White%,MixedTot,Mixed%,Asian/Asian British,Asian/Asian British%,Black/African/Carribean/Black British,Black/African/Carribean/Black British%
S75  3,E14000542,55.71,9.9350979,0.6,5.4,1.1,2.7,2.3,4.6,5.3,20,7691,7570,98.4,47,0.6,55,0.7,12,0.2
S70  3,E14000542,55.71,9.9350979,2.1,5.5,1.2,2.4,2.7,7.4,9.3,20.7,7966,7716,96.9,50,0.6,61,0.8,128,1.6
S71  1,E14000542,55.71,9.9350979,2,5.5,1.3,2.6,3,6.8,7.4,22,8048,7793,96.8,64,0.8,98,1.2,76,0.9
S70  4,E14000542,55.71,9.9350979,2.1,5.7,1.5,2.3,2.6,6.9,7.2,20.2,8132,7835,96.3,63,0.8,101,1.2,112,1.4
S70  6,E14000542,55.71,9.9350979,3.5,4.9,1.4,2.6,2.2,6.5,7.9,20.5,7652,7316,95.6,67,0.9,146,1.9,82,1.1
NA,E14000543,63.32,8.8439152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CM11 2,E14000544,64.85,11.1085523,1.1,6.3,1.2,2.8,1.9,5.5,4.8,20.4,11764,11392,96.8,123,1,122,1,99,0.8
CM11 1,E14000544,64.85,11.1085523,0.7,7.4,1.5,2.8,1.9,4.8,3.9,18.8,7237,6958,96.1,80,1.1,171,2.4,22,0.3
CM12 9,E14000544,64.85,11.1085523,1.1,5.5,1.2,2.2,1.5,3.8,4.1,18.7,7488,7169,95.7,89,1.2,186,2.5,26,0.3
CM12 2,E14000544,64.85,11.1085523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CM4  9,E14000544,64.85,11.1085523,0.6,6,1.2,3,2.1,3.3,3.1,16.4,5606,5461,97.4,47,0.8,75,1.3,18,0.3
CM12 0,E14000544,64.85,11.1085523,1.5,6.1,1.2,2.5,1.6,4.3,5,22.2,12334,11830,95.9,154,1.2,255,2.1,69,0.6
SS15 4,E14000544,64.85,11.1085523,1.7,6.2,1.5,2.4,1.9,5,6.6,24.4,5443,5165,94.9,69,1.3,110,2,88,1.6
SS12 0,E14000544,64.85,11.1085523,0.4,5.1,1.1,2.1,2.2,5,4.4,16.9,6959,6675,95.9,65,0.9,131,1.9,75,1.1
CM13 3,E14000544,64.85,11.1085523,1.3,5.4,1.2,2.3,1.7,4.6,4.5,17,5875,5557,94.6,99,1.7,141,2.4,53,0.9
SS15 5,E14000544,64.85,11.1085523,1.4,7.3,1.5,3,2.8,5.9,7.4,22.6,16186,14334,88.6,377,2.3,733,4.5,684,4.2
SS15 6,E14000544,64.85,11.1085523,1.1,5.4,1.1,2.4,2.5,6.7,7.3,19.9,8634,7908,91.6,185,2.1,236,2.7,267,3.1
SS14 3,E14000544,64.85,11.1085523,2.2,7.2,1.7,3,3.2,7.1,6,21.8,4390,3897,88.8,107,2.4,100,2.3,280,6.4
SS14 2,E14000544,64.85,11.1085523,1.6,5.4,1.3,2.4,2.3,6,7.1,19.4,11007,10101,91.8,199,1.8,315,2.9,358,3.3
SS16 6,E14000544,64.85,11.1085523,1.4,5.9,1.4,2.7,2.2,5.2,6.3,22.7,7786,7206,92.6,103,1.3,322,4.1,139,1.8
SS14 0,E14000544,64.85,11.1085523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SS14 1,E14000544,64.85,11.1085523,1.7,6.4,1.5,2.7,2.7,7.1,7.2,21.7,9518,8352,87.7,210,2.2,324,3.4,599,6.3
SS13 3,E14000544,64.85,11.1085523,1.6,6,1.3,2.8,2.2,6.1,6.2,19.3,7497,6796,90.6,158,2.1,172,2.3,349,4.7
SS16 5,E14000544,64.85,11.1085523,1.1,5.6,1.3,2.8,2.8,6.4,6.9,19.7,9879,8800,89.1,173,1.8,642,6.5,221,2.2
SS14 9,E14000544,64.85,11.1085523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RG24 8,E14000545,66.62,12.3776576,3.1,6.1,1.2,2.3,1.7,5.2,6.8,26.9,11200,10363,92.5,192,1.7,492,4.4,120,1.1
RG24 7,E14000545,66.62,12.3776576,0.8,6,1.3,2.4,1.6,3.6,3.7,16.5,4041,3870,95.8,57,1.4,87,2.2,22,0.5
RG27 9,E14000545,66.62,12.3776576,2.2,6.9,1.2,2.9,1.9,3.9,4.1,21.3,9028,8618,95.5,154,1.7,191,2.1,43,0.5
RG25 2,E14000545,66.62,12.3776576,1.4,6.3,1.1,2.1,1.4,3.3,3.8,19,4183,4094,97.9,37,0.9,37,0.9,7,0.2
RG22 4,E14000545,66.62,12.3776576,2.7,7.1,1.5,2.8,2.3,5.1,7.2,26.5,20955,19355,92.4,441,2.1,819,3.9,261,1.2
RG21 3,E14000545,66.62,12.3776576,3.8,5.4,1.2,2.3,1.9,5.9,6.8,21.9,7907,7213,91.2,123,1.6,447,5.7,83,1
RG21 8,E14000545,66.62,12.3776576,6.9,4.5,0.9,2.4,2.3,7,10.2,24.2,3959,3342,84.4,85,2.1,457,11.5,40,1
